context,conversation_turn,score
"Facet: Risktaking; Definition: Risktaking refers to the willingness to engage in behaviors that have uncertain outcomes, where potential gains are accompanied by potential losses or negative consequences.; Rubric: 1: Averse | 2: Cautious | 3: Balanced | 4: Adventurous | 5: Daring","I usually stick to the safest option, even if it means missing out on bigger opportunities.",1
"Facet: Acidity; Definition: Acidity, in a behavioral context, refers to the degree of sharpness, criticalness, or irritability expressed in an individual's communication style or disposition, often characterized by a tendency towards cynicism, sarcasm, or an abrasive manner.; Rubric: 1: Gentle | 2: Balanced | 3: Direct | 4: Sharp | 5: Caustic","He's usually quite calm and balanced, only offering a direct critique when it's absolutely necessary.",2
"Facet: Acidity; Definition: Acidity, in a behavioral context, refers to the degree of sharpness, criticalness, or irritability expressed in an individual's communication style or disposition, often characterized by a tendency towards cynicism, sarcasm, or an abrasive manner.; Rubric: 1: Gentle | 2: Balanced | 3: Direct | 4: Sharp | 5: Caustic","When she gives feedback, it's very direct and to the point, sometimes a bit blunt, but usually fair.",3
"Facet: Acidity; Definition: Acidity, in a behavioral context, refers to the degree of sharpness, criticalness, or irritability expressed in an individual's communication style or disposition, often characterized by a tendency towards cynicism, sarcasm, or an abrasive manner.; Rubric: 1: Gentle | 2: Balanced | 3: Direct | 4: Sharp | 5: Caustic","His comments in meetings are often quite sharp and critical, leaving some people feeling a bit on edge.",4
"Facet: Acidity; Definition: Acidity, in a behavioral context, refers to the degree of sharpness, criticalness, or irritability expressed in an individual's communication style or disposition, often characterized by a tendency towards cynicism, sarcasm, or an abrasive manner.; Rubric: 1: Gentle | 2: Balanced | 3: Direct | 4: Sharp | 5: Caustic",Every interaction with him feels like walking on eggshells; his remarks are consistently caustic and leave a bitter taste.,5
"Facet: Democratic Leadership; Definition: Democratic leadership, also known as participative leadership, is a leadership style in which the leader involves team members in the decision-making process. This style emphasizes group participation, open communication, and shared responsibility, leading to greater team engagement, creativity, and commitment, while the ultimate decision-making authority may still rest with the leader or be delegated to the group.; Rubric: 1: Autocratic | 2: Limited Input | 3: Consultative | 4: Collaborative | 5: Empowering Consensus","Despite the team's suggestions, Sarah just announced her final decision on the project scope without any discussion, expecting everyone to follow it.",1
"Facet: Democratic Leadership; Definition: Democratic leadership, also known as participative leadership, is a leadership style in which the leader involves team members in the decision-making process. This style emphasizes group participation, open communication, and shared responsibility, leading to greater team engagement, creativity, and commitment, while the ultimate decision-making authority may still rest with the leader or be delegated to the group.; Rubric: 1: Autocratic | 2: Limited Input | 3: Consultative | 4: Collaborative | 5: Empowering Consensus","Before deciding on the new marketing strategy, Mark briefly asked for a few opinions from the senior team members but ultimately made the call himself.",2
"Facet: Democratic Leadership; Definition: Democratic leadership, also known as participative leadership, is a leadership style in which the leader involves team members in the decision-making process. This style emphasizes group participation, open communication, and shared responsibility, leading to greater team engagement, creativity, and commitment, while the ultimate decision-making authority may still rest with the leader or be delegated to the group.; Rubric: 1: Autocratic | 2: Limited Input | 3: Consultative | 4: Collaborative | 5: Empowering Consensus","Our team lead, Emily, held a meeting where she openly solicited feedback from everyone on the new process, carefully considering all viewpoints before finalizing the plan.",3
"Facet: Democratic Leadership; Definition: Democratic leadership, also known as participative leadership, is a leadership style in which the leader involves team members in the decision-making process. This style emphasizes group participation, open communication, and shared responsibility, leading to greater team engagement, creativity, and commitment, while the ultimate decision-making authority may still rest with the leader or be delegated to the group.; Rubric: 1: Autocratic | 2: Limited Input | 3: Consultative | 4: Collaborative | 5: Empowering Consensus","For the upcoming product launch, David led several workshops where the entire team debated options, shared responsibilities, and collectively shaped the strategy.",4
"Facet: Democratic Leadership; Definition: Democratic leadership, also known as participative leadership, is a leadership style in which the leader involves team members in the decision-making process. This style emphasizes group participation, open communication, and shared responsibility, leading to greater team engagement, creativity, and commitment, while the ultimate decision-making authority may still rest with the leader or be delegated to the group.; Rubric: 1: Autocratic | 2: Limited Input | 3: Consultative | 4: Collaborative | 5: Empowering Consensus","When we faced that complex problem, Alex facilitated a discussion where every team member had a voice, and we worked together to reach a unanimous, innovative solution that everyone owned.",5
"Facet: Common-sense; Definition: Common-sense refers to the practical, sound judgment and intuitive understanding of everyday situations, often based on shared experiences and basic reasoning rather than specialized knowledge or formal education. It involves the ability to make reasonable decisions, anticipate obvious consequences, and navigate social and physical environments effectively.; Rubric: 1: Lacks Judgment | 2: Inconsistent | 3: Generally Practical | 4: Consistently Sound | 5: Exceptionally Astute",He tried to fix the broken toaster with a metal fork while it was still plugged in; it's like he has no common sense at all.,1
"Facet: Common-sense; Definition: Common-sense refers to the practical, sound judgment and intuitive understanding of everyday situations, often based on shared experiences and basic reasoning rather than specialized knowledge or formal education. It involves the ability to make reasonable decisions, anticipate obvious consequences, and navigate social and physical environments effectively.; Rubric: 1: Lacks Judgment | 2: Inconsistent | 3: Generally Practical | 4: Consistently Sound | 5: Exceptionally Astute","Sometimes she'll remember to check the weather before going out, but other times she'll leave for a hike in flip-flops, so her common sense is a bit hit-or-miss.",2
"Facet: Common-sense; Definition: Common-sense refers to the practical, sound judgment and intuitive understanding of everyday situations, often based on shared experiences and basic reasoning rather than specialized knowledge or formal education. It involves the ability to make reasonable decisions, anticipate obvious consequences, and navigate social and physical environments effectively.; Rubric: 1: Lacks Judgment | 2: Inconsistent | 3: Generally Practical | 4: Consistently Sound | 5: Exceptionally Astute",She usually figures out the best way to handle tricky situations at work; her common sense helps her navigate things pretty well.,3
"Facet: Common-sense; Definition: Common-sense refers to the practical, sound judgment and intuitive understanding of everyday situations, often based on shared experiences and basic reasoning rather than specialized knowledge or formal education. It involves the ability to make reasonable decisions, anticipate obvious consequences, and navigate social and physical environments effectively.; Rubric: 1: Lacks Judgment | 2: Inconsistent | 3: Generally Practical | 4: Consistently Sound | 5: Exceptionally Astute","Before making any big decisions, he always considers all the practical implications, which is why he's known for his consistently sound common sense.",4
"Facet: Common-sense; Definition: Common-sense refers to the practical, sound judgment and intuitive understanding of everyday situations, often based on shared experiences and basic reasoning rather than specialized knowledge or formal education. It involves the ability to make reasonable decisions, anticipate obvious consequences, and navigate social and physical environments effectively.; Rubric: 1: Lacks Judgment | 2: Inconsistent | 3: Generally Practical | 4: Consistently Sound | 5: Exceptionally Astute","Even in completely new situations, she quickly grasps the underlying dynamics and offers the most logical and effective solution; her common sense is truly exceptional.",5
"Facet: Hesitation; Definition: Hesitation is a temporary pause or delay in action, decision-making, or speech, often stemming from uncertainty, doubt, a need for further consideration, or a lack of immediate confidence.; Rubric: 1: Immediate | 2: Slight pause | 3: Moderate delay | 4: Significant pause | 5: Prolonged indecision","When asked if he wanted to join the team, he immediately responded, 'Absolutely, I'm in!'",1
"Facet: Hesitation; Definition: Hesitation is a temporary pause or delay in action, decision-making, or speech, often stemming from uncertainty, doubt, a need for further consideration, or a lack of immediate confidence.; Rubric: 1: Immediate | 2: Slight pause | 3: Moderate delay | 4: Significant pause | 5: Prolonged indecision","She paused for a brief moment, then confirmed, 'Yes, I think that's the best option.'",2
"Facet: Hesitation; Definition: Hesitation is a temporary pause or delay in action, decision-making, or speech, often stemming from uncertainty, doubt, a need for further consideration, or a lack of immediate confidence.; Rubric: 1: Immediate | 2: Slight pause | 3: Moderate delay | 4: Significant pause | 5: Prolonged indecision","There was a noticeable silence before he finally said, 'Hmm, I'm not entirely sure, but I'll go with option B.'",3
"Facet: Hesitation; Definition: Hesitation is a temporary pause or delay in action, decision-making, or speech, often stemming from uncertainty, doubt, a need for further consideration, or a lack of immediate confidence.; Rubric: 1: Immediate | 2: Slight pause | 3: Moderate delay | 4: Significant pause | 5: Prolonged indecision","She took a long breath, looking at both choices for a good ten seconds before murmuring, 'This is a tough one... I'll choose the first one.'",4
"Facet: Hesitation; Definition: Hesitation is a temporary pause or delay in action, decision-making, or speech, often stemming from uncertainty, doubt, a need for further consideration, or a lack of immediate confidence.; Rubric: 1: Immediate | 2: Slight pause | 3: Moderate delay | 4: Significant pause | 5: Prolonged indecision","He spent several minutes debating, going back and forth between two similar items, unable to make a final commitment, saying, 'I just can't decide, they both seem good, maybe I should wait.'",5
"Facet: Discontentment; Definition: Discontentment is an emotional state characterized by dissatisfaction, unease, or a lack of contentment with one's current circumstances, often accompanied by a desire for change, improvement, or a sense that something is missing or not right.; Rubric: 1: Content | 2: Mildly Uneasy | 3: Dissatisfied | 4: Unhappy/Frustrated | 5: Profoundly Unhappy/Despairing","Honestly, I'm pretty happy with how things are going; I don't really feel like anything needs to change.",1
"Facet: Discontentment; Definition: Discontentment is an emotional state characterized by dissatisfaction, unease, or a lack of contentment with one's current circumstances, often accompanied by a desire for change, improvement, or a sense that something is missing or not right.; Rubric: 1: Content | 2: Mildly Uneasy | 3: Dissatisfied | 4: Unhappy/Frustrated | 5: Profoundly Unhappy/Despairing","I've just been feeling a bit off lately, like something isn't quite right, but I can't put my finger on it.",2
"Facet: Discontentment; Definition: Discontentment is an emotional state characterized by dissatisfaction, unease, or a lack of contentment with one's current circumstances, often accompanied by a desire for change, improvement, or a sense that something is missing or not right.; Rubric: 1: Content | 2: Mildly Uneasy | 3: Dissatisfied | 4: Unhappy/Frustrated | 5: Profoundly Unhappy/Despairing","I'm really starting to feel like I need a change; this job just isn't fulfilling anymore, and I'm getting restless.",3
"Facet: Discontentment; Definition: Discontentment is an emotional state characterized by dissatisfaction, unease, or a lack of contentment with one's current circumstances, often accompanied by a desire for change, improvement, or a sense that something is missing or not right.; Rubric: 1: Content | 2: Mildly Uneasy | 3: Dissatisfied | 4: Unhappy/Frustrated | 5: Profoundly Unhappy/Despairing","I'm so frustrated with my current situation; no matter what I do, it feels like I'm stuck and nothing is improving.",4
"Facet: Discontentment; Definition: Discontentment is an emotional state characterized by dissatisfaction, unease, or a lack of contentment with one's current circumstances, often accompanied by a desire for change, improvement, or a sense that something is missing or not right.; Rubric: 1: Content | 2: Mildly Uneasy | 3: Dissatisfied | 4: Unhappy/Frustrated | 5: Profoundly Unhappy/Despairing","I just can't seem to find any joy in anything anymore; everything feels wrong, and I don't see a way out of this unhappiness.",5
"Facet: Overprotectiveness; Definition: Overprotectiveness is an excessive or intrusive level of care, concern, or supervision towards another individual, often stemming from a desire to shield them from harm, failure, or negative experiences, which can inadvertently hinder their autonomy, independence, and the development of coping skills.; Rubric: 1: Trusting Autonomy | 2: Encouraging Independence | 3: Cautiously Supportive | 4: Actively Safeguarding | 5: Controlling & Restrictive","I believe in letting my children explore and make their own choices, even if it means they'll stumble sometimes; it's how they learn.",1
"Facet: Overprotectiveness; Definition: Overprotectiveness is an excessive or intrusive level of care, concern, or supervision towards another individual, often stemming from a desire to shield them from harm, failure, or negative experiences, which can inadvertently hinder their autonomy, independence, and the development of coping skills.; Rubric: 1: Trusting Autonomy | 2: Encouraging Independence | 3: Cautiously Supportive | 4: Actively Safeguarding | 5: Controlling & Restrictive","I offer advice and support, but ultimately, I want them to feel empowered to make their own decisions and learn from the outcomes.",2
"Facet: Overprotectiveness; Definition: Overprotectiveness is an excessive or intrusive level of care, concern, or supervision towards another individual, often stemming from a desire to shield them from harm, failure, or negative experiences, which can inadvertently hinder their autonomy, independence, and the development of coping skills.; Rubric: 1: Trusting Autonomy | 2: Encouraging Independence | 3: Cautiously Supportive | 4: Actively Safeguarding | 5: Controlling & Restrictive","I try to give them space, but I do find myself checking in on their progress more often than not, just to make sure things are on track.",3
"Facet: Overprotectiveness; Definition: Overprotectiveness is an excessive or intrusive level of care, concern, or supervision towards another individual, often stemming from a desire to shield them from harm, failure, or negative experiences, which can inadvertently hinder their autonomy, independence, and the development of coping skills.; Rubric: 1: Trusting Autonomy | 2: Encouraging Independence | 3: Cautiously Supportive | 4: Actively Safeguarding | 5: Controlling & Restrictive","I often intervene when I see them facing a challenge, because I want to prevent them from experiencing unnecessary stress or failure.",4
"Facet: Overprotectiveness; Definition: Overprotectiveness is an excessive or intrusive level of care, concern, or supervision towards another individual, often stemming from a desire to shield them from harm, failure, or negative experiences, which can inadvertently hinder their autonomy, independence, and the development of coping skills.; Rubric: 1: Trusting Autonomy | 2: Encouraging Independence | 3: Cautiously Supportive | 4: Actively Safeguarding | 5: Controlling & Restrictive","I pretty much manage their entire schedule, friendships, and even their career path, because I know what's truly best for their future and safety.",5
"Facet: Merriness; Definition: Merriness refers to a state of cheerful, joyful, and lighthearted exuberance, often characterized by playful behavior, an optimistic outlook, and a tendency to find amusement and delight in situations.; Rubric: 1: Somber | 2: Reserved | 3: Pleasant | 4: Joyful | 5: Exuberant","Despite the festive music, she remained quiet and observed the party with a completely expressionless face, not cracking a single smile.",1
"Facet: Merriness; Definition: Merriness refers to a state of cheerful, joyful, and lighthearted exuberance, often characterized by playful behavior, an optimistic outlook, and a tendency to find amusement and delight in situations.; Rubric: 1: Somber | 2: Reserved | 3: Pleasant | 4: Joyful | 5: Exuberant","He offered a polite chuckle at the joke and maintained a pleasant, but somewhat distant, demeanor throughout the gathering.",2
"Facet: Merriness; Definition: Merriness refers to a state of cheerful, joyful, and lighthearted exuberance, often characterized by playful behavior, an optimistic outlook, and a tendency to find amusement and delight in situations.; Rubric: 1: Somber | 2: Reserved | 3: Pleasant | 4: Joyful | 5: Exuberant","She seemed to enjoy the festivities, smiling often and contributing to the conversation with a generally good-natured attitude.",3
"Facet: Merriness; Definition: Merriness refers to a state of cheerful, joyful, and lighthearted exuberance, often characterized by playful behavior, an optimistic outlook, and a tendency to find amusement and delight in situations.; Rubric: 1: Somber | 2: Reserved | 3: Pleasant | 4: Joyful | 5: Exuberant","Her eyes sparkled with delight as she laughed heartily at the stories, clearly enjoying every moment of the celebration.",4
"Facet: Merriness; Definition: Merriness refers to a state of cheerful, joyful, and lighthearted exuberance, often characterized by playful behavior, an optimistic outlook, and a tendency to find amusement and delight in situations.; Rubric: 1: Somber | 2: Reserved | 3: Pleasant | 4: Joyful | 5: Exuberant","He was the life of the party, dancing with abandon, telling jokes, and radiating such infectious cheer that everyone around him couldn't help but smile.",5
"Facet: Emotionalism; Definition: Emotionalism refers to the degree to which an individual experiences and expresses emotions readily, intensely, and visibly, often characterized by a tendency to be swayed by feelings rather than purely rational thought in decision-making or reactions.; Rubric: 1: Stoic | 2: Reserved | 3: Expressive | 4: Passionate | 5: Volatile","Even after winning the championship, he just nodded calmly; you'd never know how excited he really was.",1
"Facet: Emotionalism; Definition: Emotionalism refers to the degree to which an individual experiences and expresses emotions readily, intensely, and visibly, often characterized by a tendency to be swayed by feelings rather than purely rational thought in decision-making or reactions.; Rubric: 1: Stoic | 2: Reserved | 3: Expressive | 4: Passionate | 5: Volatile","She was clearly upset about the news, but she mostly just stared out the window, sighing occasionally.",2
"Facet: Emotionalism; Definition: Emotionalism refers to the degree to which an individual experiences and expresses emotions readily, intensely, and visibly, often characterized by a tendency to be swayed by feelings rather than purely rational thought in decision-making or reactions.; Rubric: 1: Stoic | 2: Reserved | 3: Expressive | 4: Passionate | 5: Volatile","When she got the promotion, she beamed, clapped her hands, and immediately called her family to share the good news.",3
"Facet: Emotionalism; Definition: Emotionalism refers to the degree to which an individual experiences and expresses emotions readily, intensely, and visibly, often characterized by a tendency to be swayed by feelings rather than purely rational thought in decision-making or reactions.; Rubric: 1: Stoic | 2: Reserved | 3: Expressive | 4: Passionate | 5: Volatile","He passionately argued his point, his voice rising and hands gesturing, making it clear how deeply he felt about the injustice.",4
"Facet: Emotionalism; Definition: Emotionalism refers to the degree to which an individual experiences and expresses emotions readily, intensely, and visibly, often characterized by a tendency to be swayed by feelings rather than purely rational thought in decision-making or reactions.; Rubric: 1: Stoic | 2: Reserved | 3: Expressive | 4: Passionate | 5: Volatile",The slightest criticism can send him into a furious outburst or a flood of tears; his moods are incredibly unpredictable.,5
"Facet: Self-improvement; Definition: The intentional and continuous process of developing one's capabilities, knowledge, skills, and overall well-being to achieve personal growth and optimize potential.; Rubric: 1: Resistant/Stagnant | 2: Passive/Unmotivated | 3: Sporadic/Responsive | 4: Proactive/Consistent | 5: Dedicated/Transformative","Honestly, I don't really see the need to change anything about myself; I'm perfectly content.",1
"Facet: Self-improvement; Definition: The intentional and continuous process of developing one's capabilities, knowledge, skills, and overall well-being to achieve personal growth and optimize potential.; Rubric: 1: Resistant/Stagnant | 2: Passive/Unmotivated | 3: Sporadic/Responsive | 4: Proactive/Consistent | 5: Dedicated/Transformative","I mean, if someone suggests a book or a workshop, I might check it out, but I don't actively go looking for ways to improve.",2
"Facet: Self-improvement; Definition: The intentional and continuous process of developing one's capabilities, knowledge, skills, and overall well-being to achieve personal growth and optimize potential.; Rubric: 1: Resistant/Stagnant | 2: Passive/Unmotivated | 3: Sporadic/Responsive | 4: Proactive/Consistent | 5: Dedicated/Transformative","Sometimes I'll sign up for a class or try a new habit, especially if I feel like I need a boost, but it's not a constant thing.",3
"Facet: Self-improvement; Definition: The intentional and continuous process of developing one's capabilities, knowledge, skills, and overall well-being to achieve personal growth and optimize potential.; Rubric: 1: Resistant/Stagnant | 2: Passive/Unmotivated | 3: Sporadic/Responsive | 4: Proactive/Consistent | 5: Dedicated/Transformative","I make sure to set aside time every week for learning new things, whether it's a skill for work or a personal development book.",4
"Facet: Self-improvement; Definition: The intentional and continuous process of developing one's capabilities, knowledge, skills, and overall well-being to achieve personal growth and optimize potential.; Rubric: 1: Resistant/Stagnant | 2: Passive/Unmotivated | 3: Sporadic/Responsive | 4: Proactive/Consistent | 5: Dedicated/Transformative",I'm constantly evaluating my progress and challenging myself to grow in every aspect of my life; it's a core part of my identity.,5
"Facet: Statistical Reasoning; Definition: The ability to understand, interpret, and apply statistical concepts and data to evaluate evidence, make informed judgments, and solve problems, recognizing potential biases, uncertainties, and limitations.; Rubric: 1: Naive/Illogical | 2: Superficial/Misinterprets | 3: Basic/Applies simple | 4: Informed/Analyzes critically | 5: Expert/Synthesizes complex","I heard that two people won the lottery after buying tickets from that store, so it must be a lucky place to buy them.",1
"Facet: Statistical Reasoning; Definition: The ability to understand, interpret, and apply statistical concepts and data to evaluate evidence, make informed judgments, and solve problems, recognizing potential biases, uncertainties, and limitations.; Rubric: 1: Naive/Illogical | 2: Superficial/Misinterprets | 3: Basic/Applies simple | 4: Informed/Analyzes critically | 5: Expert/Synthesizes complex","The average test score went up, so all the students must be performing better, even though I haven't looked at the individual results.",2
"Facet: Statistical Reasoning; Definition: The ability to understand, interpret, and apply statistical concepts and data to evaluate evidence, make informed judgments, and solve problems, recognizing potential biases, uncertainties, and limitations.; Rubric: 1: Naive/Illogical | 2: Superficial/Misinterprets | 3: Basic/Applies simple | 4: Informed/Analyzes critically | 5: Expert/Synthesizes complex","Since 70% of the surveyed customers preferred the new product, it's a good sign that most people will like it.",3
"Facet: Statistical Reasoning; Definition: The ability to understand, interpret, and apply statistical concepts and data to evaluate evidence, make informed judgments, and solve problems, recognizing potential biases, uncertainties, and limitations.; Rubric: 1: Naive/Illogical | 2: Superficial/Misinterprets | 3: Basic/Applies simple | 4: Informed/Analyzes critically | 5: Expert/Synthesizes complex","While the study showed a correlation, I'd want to see if they controlled for confounding variables and if the sample size was large enough to draw a definitive conclusion.",4
"Facet: Statistical Reasoning; Definition: The ability to understand, interpret, and apply statistical concepts and data to evaluate evidence, make informed judgments, and solve problems, recognizing potential biases, uncertainties, and limitations.; Rubric: 1: Naive/Illogical | 2: Superficial/Misinterprets | 3: Basic/Applies simple | 4: Informed/Analyzes critically | 5: Expert/Synthesizes complex","Considering the non-normal distribution of the data and the potential for Type I errors due to multiple comparisons, we should employ non-parametric tests and adjust for family-wise error rates before interpreting these preliminary findings.",5
"Facet: Assertiveness and control in relationships; Definition: Assertiveness and control in relationships refers to the degree to which an individual expresses their needs, desires, and boundaries, and influences decisions or outcomes within their interpersonal connections, while ideally respecting the autonomy and perspectives of others.; Rubric: 1: Passive | 2: Accommodating | 3: Balanced | 4: Assertive | 5: Dominant","I usually just go along with whatever my partner wants to do, even if I have a different preference, because I don't like conflict.",1
"Facet: Assertiveness and control in relationships; Definition: Assertiveness and control in relationships refers to the degree to which an individual expresses their needs, desires, and boundaries, and influences decisions or outcomes within their interpersonal connections, while ideally respecting the autonomy and perspectives of others.; Rubric: 1: Passive | 2: Accommodating | 3: Balanced | 4: Assertive | 5: Dominant","I'll suggest an idea sometimes, but if there's any disagreement, I'll typically just let them decide to keep things smooth.",2
"Facet: Assertiveness and control in relationships; Definition: Assertiveness and control in relationships refers to the degree to which an individual expresses their needs, desires, and boundaries, and influences decisions or outcomes within their interpersonal connections, while ideally respecting the autonomy and perspectives of others.; Rubric: 1: Passive | 2: Accommodating | 3: Balanced | 4: Assertive | 5: Dominant","We generally discuss things and try to find a solution that works for both of us, though sometimes one of us might take the lead depending on the situation.",3
"Facet: Assertiveness and control in relationships; Definition: Assertiveness and control in relationships refers to the degree to which an individual expresses their needs, desires, and boundaries, and influences decisions or outcomes within their interpersonal connections, while ideally respecting the autonomy and perspectives of others.; Rubric: 1: Passive | 2: Accommodating | 3: Balanced | 4: Assertive | 5: Dominant","I make sure my voice is heard in our decisions, and I'm good at presenting my perspective to reach a mutual agreement that respects both our needs.",4
"Facet: Assertiveness and control in relationships; Definition: Assertiveness and control in relationships refers to the degree to which an individual expresses their needs, desires, and boundaries, and influences decisions or outcomes within their interpersonal connections, while ideally respecting the autonomy and perspectives of others.; Rubric: 1: Passive | 2: Accommodating | 3: Balanced | 4: Assertive | 5: Dominant","Honestly, most of the time, my way is the one we end up going with; I'm pretty firm about what I want and expect things to be done my way.",5
"Facet: Cunningness; Definition: Cunningness refers to the skill or art of achieving one's goals, often through indirect, artful, or deceptive means, characterized by shrewdness, cleverness, and a capacity for manipulation or trickery.; Rubric: 1: Naive/Transparent | 2: Basic/Obvious | 3: Resourceful/Situational | 4: Strategic/Subtle | 5: Masterful/Deceptive","He's so straightforward, he practically tells you his every move; he'd never think to hide his intentions or try to outsmart anyone.",1
"Facet: Cunningness; Definition: Cunningness refers to the skill or art of achieving one's goals, often through indirect, artful, or deceptive means, characterized by shrewdness, cleverness, and a capacity for manipulation or trickery.; Rubric: 1: Naive/Transparent | 2: Basic/Obvious | 3: Resourceful/Situational | 4: Strategic/Subtle | 5: Masterful/Deceptive","She tried to get out of chores by pretending to be sick, but her 'cough' sounded suspiciously like a cat meowing, making her attempt quite obvious.",2
"Facet: Cunningness; Definition: Cunningness refers to the skill or art of achieving one's goals, often through indirect, artful, or deceptive means, characterized by shrewdness, cleverness, and a capacity for manipulation or trickery.; Rubric: 1: Naive/Transparent | 2: Basic/Obvious | 3: Resourceful/Situational | 4: Strategic/Subtle | 5: Masterful/Deceptive","When the boss asked for volunteers for a difficult task, he quickly offered to help with an easier, related one, subtly deflecting the main responsibility without directly refusing.",3
"Facet: Cunningness; Definition: Cunningness refers to the skill or art of achieving one's goals, often through indirect, artful, or deceptive means, characterized by shrewdness, cleverness, and a capacity for manipulation or trickery.; Rubric: 1: Naive/Transparent | 2: Basic/Obvious | 3: Resourceful/Situational | 4: Strategic/Subtle | 5: Masterful/Deceptive","She subtly praised the new intern's small contribution in the meeting, knowing it would make her own more significant ideas seem even better by contrast and enhance her standing.",4
"Facet: Cunningness; Definition: Cunningness refers to the skill or art of achieving one's goals, often through indirect, artful, or deceptive means, characterized by shrewdness, cleverness, and a capacity for manipulation or trickery.; Rubric: 1: Naive/Transparent | 2: Basic/Obvious | 3: Resourceful/Situational | 4: Strategic/Subtle | 5: Masterful/Deceptive","He spent weeks meticulously planting seeds of doubt about his competitor's project, ensuring all the 'concerns' came from other team members, not himself, before proposing his own alternative as the only viable solution.",5
"Facet: Adventure-Seeking Behavior; Definition: Adventure-seeking behavior is characterized by a strong inclination to engage in novel, exciting, and often challenging or risky experiences, driven by a desire for exploration, stimulation, and the pursuit of new sensations.; Rubric: 1: Averse | 2: Cautious | 3: Open | 4: Eager | 5: Thrill-seeker",I'd much rather stay home with a good movie than go camping in the wilderness; all that uncertainty just isn't for me.,1
